u,v,key,length,highway,name,coordinates,가로수
436833513,436833512,0,53.60662481287319,secondary,답십리로,"[[127.04295, 37.57877], [127.04327, 37.57836]]",True
436833513,3830520000,0,85.3256836786259,residential,답십리로1길,"[[127.04295, 37.57877], [127.0430296, 37.5788244], [127.0432738, 37.5789], [127.0438289, 37.5790825]]",True
436833513,436833515,0,68.98863348325426,secondary,답십리로,"[[127.04295, 37.57877], [127.0427, 37.57909], [127.0424385, 37.5792189]]",True
436833515,5321180871,0,17.09596571310913,primary,왕산로,"[[127.0424385, 37.5792189], [127.0426177, 37.5792778]]",True
436833515,5321180868,0,15.869180895758342,primary,왕산로,"[[127.0424385, 37.5792189], [127.0422708, 37.5791669]]",True
436833515,5321180869,0,6.218350765827155,secondary,답십리로,"[[127.0424385, 37.5792189], [127.0424116, 37.5792706]]",False
436833515,436833513,0,68.98863348325426,secondary,답십리로,"[[127.0424385, 37.5792189], [127.0427, 37.57909], [127.04295, 37.57877]]",True
436856610,13016709584,0,12.744251302820908,secondary,한천로,"[[127.0669018, 37.6053363], [127.0668474, 37.6054425]]",True
436856610,13016709304,0,44.70339245586723,secondary,한천로66길,"[[127.0669018, 37.6053363], [127.0669892, 37.605284], [127.0670413, 37.6052626], [127.0670991, 37.6052524], [127.0671643, 37.6052509], [127.067211, 37.6052571], [127.0672361, 37.6052614], [127.0672625, 37.605269], [127.0672908, 37.605282], [127.0673126, 37.6052998], [127.0673404, 37.6053324]]",True
436856610,13016709349,0,33.53136727538866,secondary,한천로,"[[127.0669018, 37.6053363], [127.06694, 37.60526], [127.0670386, 37.6050549]]",True
436856612,13016709304,0,8.898301211935824,secondary,한천로66길,"[[127.0673587, 37.6054111], [127.0673404, 37.6053324]]",True
436856612,13016709335,0,45.06014408624493,secondary,한천로66길,"[[127.0673587, 37.6054111], [127.0673875, 37.6053468], [127.0673949, 37.6053019], [127.0673998, 37.6050102]]",True
436860043,9776882919,0,16.828143184939655,secondary,외대역동로,"[[127.0672558, 37.5915769], [127.0671447, 37.5917]]",True
436860043,12234274316,0,26.549576172898497,primary,망우로,"[[127.0672558, 37.5915769], [127.0675518, 37.5916216]]",True
436860043,8437816493,0,16.751166473782767,primary,망우로,"[[127.0672558, 37.5915769], [127.0673811, 37.5916902]]",True
436860045,9776882941,0,4.581708385329446,residential,외대역동로1길,"[[127.06642, 37.59216], [127.0663856, 37.5921291]]",True
436860045,9776882957,0,7.445834307391535,service,,"[[127.06642, 37.59216], [127.0664784, 37.5922084]]",True
436860045,9776882949,0,45.10615912222737,secondary,외대역동로,"[[127.06642, 37.59216], [127.066, 37.59236], [127.0659804, 37.5923678]]",True
436860045,9776807361,0,42.01670875469557,secondary,외대역동로,"[[127.06642, 37.59216], [127.0666912, 37.5919651], [127.066778, 37.5919106]]",True
436860056,9776883153,0,11.410977771285122,secondary,외대역동로,"[[127.0645785, 37.5945924], [127.06457, 37.59449]]",True
436860056,9796818249,0,13.5066545568821,secondary,휘경로,"[[127.0645785, 37.5945924], [127.064726, 37.5945593]]",True
436860056,9848667628,0,12.438675436860814,secondary,휘경로,"[[127.0645785, 37.5945924], [127.0644468, 37.5946327]]",True
436860056,9848667626,0,15.242131742897408,tertiary,외대역동로,"[[127.0645785, 37.5945924], [127.0646092, 37.5947273]]",True
436860494,7579130719,0,7.139337481792599,service,,"[[127.0347156, 37.5882727], [127.0346346, 37.5882743]]",True
436860494,3828715867,0,11.249889329240789,primary,안암로,"[[127.0347156, 37.5882727], [127.0347963, 37.5883511]]",True
